Observatia,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
0,2,0,3,1999.0,187.0,1,4.8,4.5,20218
1,1,1,1,1461.0,110.0,1,4.5,3.9,4700
2,2,0,3,1998.0,184.0,2,7.1,5.0,35900
3,2,0,2,2488.0,190.0,1,6.3,4.4,33272
4,0,1,3,898.0,90.0,1,5.8,4.6,7900
5,1,0,3,2143.0,170.0,0,5.8,4.7,17700
6,1,0,2,2151.0,201.0,0,6.7,5.4,42721
7,1,1,1,1598.0,115.0,1,7.9,5.9,10600
8,0,1,2,1998.0,150.0,0,11.4,7.3,5750
9,2,0,2,1798.0,98.0,1,6.1,4.6,19200
10,1,1,2,1461.0,115.0,0,4.9,4.5,11990
11,1,0,3,2967.0,231.0,0,6.2,5.3,30226
12,1,0,2,2151.0,202.0,0,6.8,5.1,38999
13,1,0,2,2987.0,258.0,0,7.8,6.3,13950
14,1,0,2,2993.0,400.0,0,7.6,6.3,54989
15,1,1,0,1896.0,105.0,1,6.9,4.2,3990
16,1,0,3,1995.0,184.0,2,5.3,3.9,10990
17,0,1,0,1197.0,85.0,1,7.0,4.6,7290
18,0,1,2,1998.0,149.0,0,8.1,5.5,18250
19,1,1,2,1995.0,150.0,0,9.5,6.2,7990
20,1,0,2,1499.0,130.0,1,4.3,3.8,15890
21,1,0,2,1968.0,170.0,0,8.8,5.9,13489
22,1,0,3,2925.0,340.0,0,6.8,5.1,48000
23,0,0,2,1984.0,245.0,0,9.5,7.3,43800
24,1,0,2,1968.0,200.0,0,6.6,4.9,43139
25,0,0,3,1984.0,252.0,0,8.0,5.6,28000
26,2,0,2,1598.0,215.0,1,4.8,5.9,33989
27,1,1,3,1461.0,115.0,1,4.6,3.6,11990
28,1,1,3,1968.0,177.0,0,6.3,4.7,11200
29,2,0,2,1598.0,180.0,0,6.6,4.7,34489
30,1,0,3,1968.0,150.0,1,5.4,4.1,12250
31,1,0,3,1582.0,136.0,1,4.6,3.9,8999
32,0,1,2,898.0,90.0,1,5.8,4.5,10499
33,0,1,3,1197.0,105.0,1,6.3,4.3,6350
34,1,0,3,1968.0,140.0,1,6.4,4.6,8500
35,1,1,2,1598.0,116.0,1,5.0,4.3,16000
36,0,1,0,1397.0,95.0,1,7.5,4.5,5750
37,0,1,3,1332.0,140.0,1,7.0,4.6,12490
38,1,1,3,1461.0,75.0,1,4.1,3.4,7997
39,0,1,2,1373.0,140.0,0,6.7,5.2,18002
40,1,1,2,1598.0,130.0,1,5.8,4.2,11990
41,1,0,2,2993.0,258.0,0,8.3,6.5,26108
42,0,1,3,1498.0,150.0,1,6.7,4.2,15699
43,1,0,3,1499.0,120.0,1,5.0,4.2,11990
44,1,0,2,4367.0,339.0,0,10.8,7.6,62500
45,1,1,3,1598.0,90.0,1,7.9,6.0,9520
46,1,1,0,1498.0,85.0,1,3.8,3.1,7300
47,1,0,2,2400.0,190.0,0,6.7,5.1,17699
48,1,1,3,1968.0,136.0,1,6.1,4.0,11390
49,1,0,2,1968.0,150.0,1,5.4,4.4,24990
50,1,1,3,1598.0,105.0,1,4.8,3.4,7100
51,1,0,2,1995.0,184.0,0,6.1,5.3,12700
52,1,1,3,1598.0,136.0,1,4.5,3.4,7499
53,1,1,0,1364.0,90.0,1,5.1,3.6,3800
54,0,1,3,1995.0,150.0,2,10.8,5.7,2997
55,0,0,2,1498.0,150.0,1,6.5,5.2,39447
56,1,0,2,2993.0,306.0,0,7.9,6.4,36000
57,0,0,2,999.0,125.0,1,7.2,5.0,17400
58,1,0,3,1968.0,170.0,1,8.9,5.9,8700
59,1,1,3,1968.0,136.0,1,7.0,4.3,8950
60,1,0,3,1968.0,150.0,1,4.3,3.5,16990
61,1,0,2,2400.0,190.0,0,6.7,5.1,18990
62,1,1,1,1598.0,105.0,1,6.9,4.9,12990
63,1,1,2,1461.0,115.0,0,4.9,4.5,12390
64,1,1,3,1995.0,177.0,2,6.1,4.2,4300
65,1,0,2,2993.0,258.0,0,6.8,5.6,36000
66,1,0,2,1950.0,190.0,0,9.6,6.1,39865
67,0,1,0,1198.0,69.0,1,6.8,4.3,4400
68,0,0,2,3982.0,421.0,0,16.3,12.3,189850
69,1,0,3,1995.0,143.0,2,10.0,6.0,9999
70,0,0,3,1984.0,190.0,1,7.4,4.7,22500
71,2,0,2,3456.0,262.0,0,5.5,5.5,35462
72,1,0,0,1995.0,184.0,2,5.5,4.3,9700
73,1,0,3,1995.0,184.0,2,5.9,4.6,11300
74,1,0,3,1968.0,190.0,0,6.1,4.5,17490
75,1,1,0,1499.0,120.0,1,4.1,3.5,11789
76,1,0,2,2967.0,231.0,0,7.7,5.9,57800
77,1,0,2,1968.0,163.0,0,5.3,4.7,27998
78,1,1,3,1560.0,115.0,1,5.1,3.7,4800
79,2,0,2,1987.0,153.0,1,3.7,4.2,25500
80,1,0,3,1968.0,204.0,1,5.0,4.2,25349
81,0,1,0,1596.0,100.0,1,8.7,5.5,3490
82,1,1,2,1461.0,110.0,1,4.2,3.6,14999
83,0,0,3,999.0,110.0,1,4.4,3.2,16449
84,1,1,1,1461.0,90.0,1,4.4,4.1,6350
85,2,0,2,1798.0,98.0,1,4.8,4.4,21896
86,1,0,2,2967.0,285.0,0,7.0,6.4,67830
87,0,1,3,999.0,110.0,1,5.4,3.9,8950
88,1,0,2,1968.0,140.0,0,6.8,5.2,13200
89,1,0,2,1598.0,130.0,1,5.8,4.7,10490
90,0,0,4,1991.0,245.0,2,10.0,6.7,42245
91,1,0,3,2987.0,265.0,0,7.8,5.0,13489
92,0,1,0,999.0,90.0,1,5.9,4.3,6990
93,1,1,1,1968.0,102.0,1,5.9,4.4,16699
94,1,0,3,2967.0,218.0,0,6.4,5.2,16490
95,1,1,2,1759.0,115.0,1,4.8,4.1,11300
96,1,0,1,1598.0,115.0,1,4.6,3.9,11800
97,1,1,2,2982.0,163.0,0,11.7,8.2,24500
98,1,1,0,1499.0,120.0,1,4.1,3.5,10150
99,1,0,3,1499.0,120.0,1,4.9,4.0,9999
100,1,0,2,2967.0,245.0,0,8.6,6.7,9000
101,1,0,2,1968.0,150.0,0,6.1,4.4,23990
102,1,0,2,2143.0,204.0,0,6.9,5.4,26699
103,0,1,0,1396.0,109.0,1,7.1,5.0,2800
104,1,1,0,1598.0,136.0,2,5.1,3.8,12300
105,0,1,3,898.0,90.0,1,6.4,4.4,4890
106,1,0,2,1968.0,140.0,0,7.9,5.5,7900
107,1,0,2,2143.0,136.0,0,5.8,4.3,17900
108,0,1,3,999.0,90.0,1,6.1,4.0,14982
109,1,0,2,2143.0,204.0,0,5.4,4.8,22900
110,1,1,2,1598.0,130.0,1,5.5,3.9,7790
111,0,1,3,1984.0,150.0,1,9.9,5.4,2100
112,0,0,3,1498.0,150.0,1,7.3,5.0,21900
113,1,0,2,1598.0,136.0,1,4.6,4.4,27608
114,1,0,2,1968.0,190.0,0,6.2,5.2,29900
115,0,0,2,1984.0,245.0,0,9.5,6.2,42900
116,1,0,3,2143.0,136.0,2,5.6,4.0,7999
117,1,0,2,1968.0,190.0,0,5.9,5.2,31500
118,1,0,2,2967.0,272.0,0,6.3,5.4,51900
119,0,0,3,2773.0,204.0,0,10.7,6.5,11500
120,1,1,2,1461.0,115.0,0,4.9,4.5,14200
121,2,0,0,1798.0,98.0,1,3.1,3.5,16541
122,1,0,3,1461.0,115.0,1,4.5,3.6,11490
123,0,0,3,1984.0,272.0,0,8.9,5.8,25489
124,1,0,2,2400.0,190.0,0,6.7,5.1,18950
125,1,1,1,1910.0,150.0,1,7.8,5.3,1900
126,1,0,2,1968.0,193.0,0,6.3,4.7,43900
127,1,1,3,2191.0,150.0,1,4.9,3.6,8600
128,1,0,2,1969.0,190.0,0,5.6,4.5,28989
129,1,1,0,1461.0,90.0,1,3.9,3.6,6499
130,1,0,2,1995.0,190.0,0,5.6,5.1,34500
131,1,0,1,1950.0,239.0,2,6.4,5.6,59489
132,1,0,3,1968.0,190.0,1,5.3,4.1,16300
133,1,1,0,1598.0,105.0,1,5.6,3.7,11990
134,0,0,2,1498.0,149.0,1,7.0,5.1,31989
135,1,0,4,2968.0,239.0,0,8.8,5.9,9890
136,1,0,2,2993.0,381.0,0,7.6,6.2,23900
