ID,Masina,Probabilitate
80,Hyundai i30,0.26
208,Volkswagen Golf,0.14
140,Opel Astra,0.14
170,Renault Megane,0.13
62,Ford Focus,0.09
186,Skoda RAPID,0.03
178,Seat Leon,0.02
101,Mazda 3,0.02
104,Mazda CX-3,0.02
227,Volvo V40,0.02
3,Audi A3,0.02
61,Ford Fiesta,0.02
177,Seat Ibiza,0.01
22,BMW Seria 2,0.01
49,Dacia Lodgy,0.01
144,Opel Insignia,0.01
188,Skoda Superb,0.01
156,Peugeot 508,0.01
171,Renault Scenic,0.01
181,Skoda Fabia,0.01
165,Renault Grand Scenic,0.01
169,Renault Laguna,0.0
155,Peugeot 5008,0.0
154,Peugeot 407,0.0
158,Porsche Cayenne Coupe,0.0
157,Porsche Cayenne,0.0
166,Renault Kadjar,0.0
168,Renault Koleos,0.0
159,Porsche Macan,0.0
160,Porsche Panamera,0.0
152,Peugeot 3008,0.0
161,Renault Arkana,0.0
162,Renault Captur,0.0
163,Renault Clio,0.0
164,Renault Espace,0.0
167,Renault Kangoo,0.0
153,Peugeot 308,0.0
0,Alfa Romeo Giulietta,0.0
151,Peugeot 208,0.0
150,Peugeot 207,0.0
122,Mercedes-Benz GLS,0.0
123,Mercedes-Benz ML,0.0
124,Mercedes-Benz S,0.0
125,Mercedes-Benz Sprinter,0.0
126,Mercedes-Benz V,0.0
127,Mercedes-Benz Vito,0.0
128,Mini Cooper,0.0
129,Mini Countryman,0.0
130,Mini ONE,0.0
131,Mitsubishi ASX,0.0
132,Mitsubishi Outlander,0.0
133,Mitsubishi Pajero,0.0
134,Nissan Juke,0.0
135,Nissan Navara,0.0
136,Nissan Qashqai,0.0
137,Nissan Qashqai+2,0.0
138,Nissan X-Trail,0.0
139,Opel Antara,0.0
141,Opel Corsa,0.0
142,Opel Crossland,0.0
143,Opel Grandland X,0.0
145,Opel Meriva,0.0
146,Opel Mokka,0.0
148,Opel Zafira,0.0
149,Peugeot 2008,0.0
147,Opel Vivaro,0.0
175,Seat Ateca,0.0
172,Renault Talisman,0.0
204,Volkswagen ARTEON,0.0
206,Volkswagen Caddy,0.0
207,Volkswagen Caravelle,0.0
209,Volkswagen Golf Plus,0.0
210,Volkswagen Jetta,0.0
211,Volkswagen Passat,0.0
212,Volkswagen Passat Alltrack,0.0
213,Volkswagen Passat CC,0.0
214,Volkswagen Phaeton,0.0
215,Volkswagen Polo,0.0
216,Volkswagen Sharan,0.0
217,Volkswagen T-Cross,0.0
218,Volkswagen T-ROC,0.0
219,Volkswagen Taigo,0.0
220,Volkswagen Tiguan,0.0
221,Volkswagen Touareg,0.0
222,Volkswagen Touran,0.0
223,Volkswagen Transporter,0.0
224,Volkswagen up!,0.0
225,Volvo S60,0.0
226,Volvo S90,0.0
228,Volvo V60,0.0
229,Volvo XC 40,0.0
230,Volvo XC 60,0.0
205,Volkswagen Beetle,0.0
203,Toyota Yaris,0.0
173,Renault Trafic,0.0
202,Toyota RAV4,0.0
174,Seat Arona,0.0
120,Mercedes-Benz GLE Coupe,0.0
176,Seat Exeo,0.0
179,Seat Tarraco,0.0
180,Seat Toledo,0.0
182,Skoda Kamiq,0.0
183,Skoda Karoq,0.0
184,Skoda Kodiaq,0.0
185,Skoda Octavia,0.0
187,Skoda Scala,0.0
189,SsangYong Tivoli,0.0
190,Suzuki Grand Vitara,0.0
191,Suzuki SX4 S-Cross,0.0
192,Suzuki Swift,0.0
193,Suzuki Vitara,0.0
194,Toyota Auris,0.0
195,Toyota Avensis,0.0
196,Toyota Aygo,0.0
197,Toyota C-HR,0.0
198,Toyota Corolla,0.0
199,Toyota Hilux,0.0
200,Toyota Land Cruiser,0.0
201,Toyota Prius,0.0
121,Mercedes-Benz GLK,0.0
116,Mercedes-Benz GLB,0.0
119,Mercedes-Benz GLE,0.0
43,Citroën C4 Cactus,0.0
32,BMW X3 M,0.0
33,BMW X4,0.0
34,BMW X4 M,0.0
35,BMW X5,0.0
36,BMW X5 M,0.0
37,BMW X6,0.0
38,BMW X6 M,0.0
39,BMW X7,0.0
40,Chevrolet Captiva,0.0
41,Citroën C3,0.0
42,Citroën C3 AIRCROSS,0.0
44,Citroën C5,0.0
30,BMW X2,0.0
45,Citroën C5 Aircross,0.0
46,Cupra Formentor,0.0
47,Dacia Dokker,0.0
48,Dacia Duster,0.0
50,Dacia Logan,0.0
51,Dacia Logan Stepway,0.0
52,Dacia Sandero,0.0
53,Dacia Sandero Stepway,0.0
