Index,text,category
0,cant log account say password incorrect,account
1,make payment yesterday amount process,payment
2,need upload driver license identity card verification,account
3,accident car damage need assistance,accident
4,service great satisfied car,feedback
5,general question rental policy,others
6,payment decline think might bank issue,payment
7,cant find account information help,account
8,upload account later ready right,account
9,car rent scratch didnt cause,accident
10,could send feedback survey rental process,feedback
11,question return car rental period,others
12,payment successful need confirm amount,payment
13,lock account please assist,account
14,need upload insurance document well,account
15,car break way need replacement,accident
16,want thank amazing service,feedback
17,clarify term car rental extension,others
18,charge incorrectly rental want refund,payment
19,reset account password,account
20,need upload photo passport verification,account
21,hit curb tire flat help,accident
22,car perfect issue,feedback
23,cancel reservation,others
24,make overpayment get refund,payment
25,cant access account unlock,account
26,uploaded driver license reject,account
27,accident car heavily damage,accident
28,im happy vehicle think need better cleaning,feedback
29,change dropoff location,others
30,payment go receive confirmation email,payment
31,help update account information,account
32,need send identification account approval,account
33,crash car work,accident
34,service amaze thank,feedback
35,question insurance option,others
36,tried make payment fail,payment
37,cant remember account login detail,account
38,okay upload account later,account
39,small accident im okay,accident
40,car great gps system wasnt work properly,feedback
41,extend rental another day,others
42,think charge much rental,payment
43,account suspend reactivate,account
44,im look luxury car trip suggest,form
45,way filter car price range website,search
46,need submit additional account rental,account
47,accident need tow truck pick car,accident
48,love car fuel bit low get,feedback
49,check past rental history,others
50,receive late payment fee dont think deserve,payment
51,need update personal information account,account
52,upload account pdf format,account
53,minor fender bender assist,accident
54,customer support helpful thank,feedback
55,change pickup location car,others
56,pay rental didnt get confirmation,payment
57,im try log account keep fail,account
58,account need upload car rental,account
59,car available heat seat,form
60,want car thats great city drive recommend,form
61,car accident need replacement vehicle,accident
62,car clean good condition please,feedback
63,make change reservation,others
64,cant make payment problem system,payment
65,forgot account password reset,account
66,upload account book car,account
67,rearended car damage,accident
68,great experience car complaint,feedback
69,extend car rental another week,others
70,charge extra day return car time,payment
71,cant update account email address help,account
72,need upload bank statement payment verification,account
73,car involve accident airbags deploy,accident
74,car work perfectly rental period,feedback
75,know reservation confirm,others
76,charge cancellation fee even though canceled time,payment
77,need recover account password,account
78,upload account via mobile app,account
79,need car enough space 5 people recommend one,form
80,find car gps include,search
81,crashed car wont start,accident
82,customer service amaze friendly,feedback
83,change car reservation,others
84,payment pending havent receive confirmation,payment
85,want change email address account,account
86,upload rental agreement verification,account
87,get accident car damage,accident
88,car excellent issue,feedback
89,add additional driver reservation,others
90,payment fail assist,payment
91,cant access account please unlock,account
92,suggest car high safety rating,form
93,im search convertible option available,search
94,account need upload complete rental,account
95,need assistance car accident,accident
96,great experience car ill definitely rent,feedback
97,return car earlier plan,others
98,charge extra day even though returned car early,payment
99,need reset account password help,account
100,uploaded account reject,account
101,minor accident need report,accident
102,amaze experience car perfect,feedback
103,cancel reservation,others
104,payment successful receipt didnt arrive,payment
105,change account detail,account
106,need upload proof address account,account
107,car involve accident damage,accident
108,filter car type like suv sedan,search
109,would like hybrid car show available option,form
110,really happy car great condition,feedback
111,extend rental another week,others
112,want search car automatic transmission low mileage,search
113,recommend car good fuel economy,form
114,im look electric car help,form
115,search car sunroof,search
116,want car thats good long trip suggest one,form
117,recommend car base previous rental,form
118,document need upload complete rental,account
119,car rent lot issue,feedback
120,accident multiple vehicle,accident
121,need upload document,account
